category,device_name,manufacturer,device_id,pnp_device_id,status,service,vendor_id,device_id_short,serial_number
PCI Device,NVIDIA GeForce RTX 4080,NVIDIA,PCI\VEN_10DE&DEV_2704&SUBSYS_179510DE&REV_A1\4&256A0AA8&0&0008,PCI\VEN_10DE&DEV_2704&SUBSYS_179510DE&REV_A1\4&256A0AA8&0&0008,OK,nvlddmkm,10DE,2704,Not available
PCI Device,Intel(R) Serial IO I2C Host Controller - 7A4E,Intel Corporation,PCI\VEN_8086&DEV_7A4E&SUBSYS_88821043&REV_11\3&11583659&0&AA,PCI\VEN_8086&DEV_7A4E&SUBSYS_88821043&REV_11\3&11583659&0&AA,OK,iaLPSS2_I2C_ADL,8086,7A4E,Not available
PCI Device,Intel(R) PCI Express Root Port #3 - 7A3A,INTEL,PCI\VEN_8086&DEV_7A3A&SUBSYS_88821043&REV_11\3&11583659&0&E2,PCI\VEN_8086&DEV_7A3A&SUBSYS_88821043&REV_11\3&11583659&0&E2,OK,pci,8086,7A3A,Not available
PCI Device,PCI standard host CPU bridge,(Standard system devices),PCI\VEN_8086&DEV_A700&SUBSYS_88821043&REV_01\3&11583659&0&00,PCI\VEN_8086&DEV_A700&SUBSYS_88821043&REV_01\3&11583659&0&00,OK,Unknown,8086,A700,Not available
PCI Device,Intel(R) Ethernet Controller I226-V,Intel,PCI\VEN_8086&DEV_125C&SUBSYS_88671043&REV_06\E89C25FFFF6BFEEF00,PCI\VEN_8086&DEV_125C&SUBSYS_88671043&REV_06\E89C25FFFF6BFEEF00,OK,e2fnexpress,8086,125C,Not available
PCI Device,Intel(R) PCIe RC 060 (x4) G4 - A74D,INTEL,PCI\VEN_8086&DEV_A74D&SUBSYS_88821043&REV_01\3&11583659&0&30,PCI\VEN_8086&DEV_A74D&SUBSYS_88821043&REV_01\3&11583659&0&30,OK,pci,8086,A74D,Not available
PCI Device,Intel(R) Shared SRAM - 7A27,INTEL,PCI\VEN_8086&DEV_7A27&SUBSYS_88821043&REV_11\3&11583659&0&A2,PCI\VEN_8086&DEV_7A27&SUBSYS_88821043&REV_11\3&11583659&0&A2,OK,Unknown,8086,7A27,Not available
PCI Device,Intel(R) PCI Express Root Port #9 - 7A30,INTEL,PCI\VEN_8086&DEV_7A30&SUBSYS_88821043&REV_11\3&11583659&0&E8,PCI\VEN_8086&DEV_7A30&SUBSYS_88821043&REV_11\3&11583659&0&E8,OK,pci,8086,7A30,Not available
PCI Device,Intel(R) Serial IO I2C Host Controller - 7A4D,Intel Corporation,PCI\VEN_8086&DEV_7A4D&SUBSYS_88821043&REV_11\3&11583659&0&A9,PCI\VEN_8086&DEV_7A4D&SUBSYS_88821043&REV_11\3&11583659&0&A9,OK,iaLPSS2_I2C_ADL,8086,7A4D,Not available
PCI Device,Intel(R) PCI Express Root Port #1 - 7A38,INTEL,PCI\VEN_8086&DEV_7A38&SUBSYS_88821043&REV_11\3&11583659&0&E0,PCI\VEN_8086&DEV_7A38&SUBSYS_88821043&REV_11\3&11583659&0&E0,OK,pci,8086,7A38,Not available
PCI Device,Intel(R) SPI (flash) Controller - 7A24,INTEL,PCI\VEN_8086&DEV_7A24&SUBSYS_88821043&REV_11\3&11583659&0&FD,PCI\VEN_8086&DEV_7A24&SUBSYS_88821043&REV_11\3&11583659&0&FD,OK,Unknown,8086,7A24,Not available
PCI Device,Intel RST VMD Controller A77F,Intel Corporation,PCI\VEN_8086&DEV_A77F&SUBSYS_88821043&REV_00\3&11583659&0&70,PCI\VEN_8086&DEV_A77F&SUBSYS_88821043&REV_00\3&11583659&0&70,OK,iaStorVD,8086,A77F,Not available
PCI Device,Intel(R) Platform Monitoring Technology Driver,Intel(R) Platform Monitoring Technology Device,PCI\VEN_8086&DEV_A77D&SUBSYS_88821043&REV_01\3&11583659&0&50,PCI\VEN_8086&DEV_A77D&SUBSYS_88821043&REV_01\3&11583659&0&50,OK,IntelPMT,8086,A77D,Not available
PCI Device,Intel(R) USB 3.20 eXtensible Host Controller - 1.20 (Microsoft),Generic USB xHCI Host Controller,PCI\VEN_8086&DEV_7A60&SUBSYS_88821043&REV_11\3&11583659&0&A0,PCI\VEN_8086&DEV_7A60&SUBSYS_88821043&REV_11\3&11583659&0&A0,OK,USBXHCI,8086,7A60,Not available
PCI Device,Standard NVM Express Controller,Standard NVM Express Controller,PCI\VEN_15B7&DEV_5017&SUBSYS_501715B7&REV_01\4&E45FC2A&0&0030,PCI\VEN_15B7&DEV_5017&SUBSYS_501715B7&REV_01\4&E45FC2A&0&0030,OK,stornvme,15B7,5017,Not available
PCI Device,Intel(R) Management Engine Interface #1,Intel,PCI\VEN_8086&DEV_7A68&SUBSYS_88821043&REV_11\3&11583659&0&B0,PCI\VEN_8086&DEV_7A68&SUBSYS_88821043&REV_11\3&11583659&0&B0,OK,MEIx64,8086,7A68,Not available
